Index,Track URI,Artist Name,Track Name,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Accousticness,Instrumentalness,Liveness,Valence,Tempo,popularity
112,spotify:track:2hCKzqwjRjhycKeZJvbloJ,Post Malone,Go Flex,2016-12-09,0.663,0.489,5,-8.198,1,0.124,0.227,0,0.0769,0.117,81.959,0
113,spotify:track:5pWAuRZyAC3HIf36GfRcbz,Post Malone,Too Young,2016-12-09,0.625,0.639,11,-6.474,0,0.054,0.292,5.74e-05,0.0833,0.263,123.012,0
114,spotify:track:6ZA3Q8Dj5BrnmOsT300DCh,Tyga,Ice Cream Man,2015-08-24,0.902,0.67,10,-4.074,1,0.19,0.167,0,0.107,0.39,144.07,61
115,spotify:track:7noR0WCcD1oh23jjEhJ5QC,Bugzy Malone,Make Or Break,2017-07-14,0.569,0.681,2,-5.899,0,0.213,0.365,6.67e-05,0.124,0.135,139.905,50
116,spotify:track:4lrD5zPJTGMsYzmYlwFtik,Skepta,Man,2016-05-06,0.744,0.758,2,-6.501,1,0.263,0.0141,1.22e-05,0.213,0.546,137.892,0
117,spotify:track:745Dazbwplj1SDZ8SPKHV5,Stormzy,Scary,2016-09-02,0.629,0.662,7,-12.353,0,0.68,0.43,0,0.141,0.535,137.718,53
118,spotify:track:1CireMJYXN8Rw4u1HG5GFZ,Skepta,Shutdown,2016-05-06,0.656,0.746,7,-4.716,1,0.314,0.126,0,0.508,0.824,104.044,0
119,spotify:track:4Sj8JZ9zZfl8HaOav5yTVq,Logic,1-800-273-8255,2017-04-28,0.622,0.593,5,-7.755,0,0.0414,0.56,0,0.175,0.369,100.048,0
120,spotify:track:4ipnJyDU3Lq15qBAYNqlqK,J Balvin,Mi Gente,2017-06-30,0.774,0.687,11,-4.818,0,0.0584,0.0179,1.17e-05,0.128,0.308,104.959,72
121,spotify:track:6Q2FftbUG530lCtBI74bMH,A Boogie Wit da Hoodie,Drowning (feat. Kodak Black),2017-03-09,0.839,0.81,5,-5.274,0,0.0568,0.501,0,0.117,0.814,129.014,0
122,spotify:track:36I3sETuZvd4dhQzBVIcnw,Tinie Tempah,Been the Man,2015-12-14,0.74,0.819,1,-4.831,1,0.383,0.15,0,0.33,0.713,139.677,44
123,spotify:track:0D4j0g4nGdt70HLilKqOQw,Stormzy,Not That Deep,2014-11-23,0.46,0.815,11,-9.244,0,0.385,0.369,0,0.0942,0.798,139.27,0
124,spotify:track:6oi3o5F08JM3EK1ImHkAlV,Solo 45,Feed Em To The Lions - Remix,2016-06-17,0.641,0.954,11,-5.042,0,0.207,0.0016,0,0.161,0.787,139.997,0
125,spotify:track:5uZm7EFtP5aoTJvx5gv9Xf,A Boogie Wit da Hoodie,Jungle,2016-09-16,0.538,0.52,7,-11.063,0,0.737,0.308,0,0.214,0.551,180.274,72
126,spotify:track:3ipZsbrdpNTYvN9QkcXB4j,Skepta,Konnichiwa,2016-05-06,0.788,0.592,8,-10.667,1,0.356,0.0085,6.75e-05,0.164,0.238,138.021,0
127,spotify:track:0rU1aBF8cQ8xS3H25qWuMz,Big Boi,Kill Jill,2017,0.771,0.527,7,-6.798,0,0.232,0.205,0,0.0978,0.113,139.934,0
128,spotify:track:7wGoVu4Dady5GV0Sv4UIsx,Post Malone,rockstar,2017-09-15,0.577,0.522,5,-6.594,0,0.0984,0.13,9.03e-05,0.142,0.119,159.772,4
129,spotify:track:64XdaHjuyOQmVRdqn7aCgB,Eminem,25 To Life,2010-06-18,0.619,0.926,8,-0.975,0,0.257,0.249,0,0.208,0.372,79.589,0
130,spotify:track:4dVpf9jZjcORqGTLUaeYj9,A$AP Ferg,Plain Jane,2017-08-18,0.797,0.844,11,-5.482,1,0.275,0.0651,0,0.087,0.52,170.142,76
131,spotify:track:7a8CUx6YsjWAC6Ka5VoK26,A$AP Ferg,One Night Savage (feat. MadeinTYO),2017-08-18,0.71,0.837,4,-5.436,0,0.214,0.661,5.81e-06,0.16,0.659,81.099,43
132,spotify:track:6LNs888JJaWHCGRjx74K7H,Mike WiLL Made-It,Perfect Pint,2017-06-09,0.737,0.56,7,-5.535,1,0.151,0.154,0,0.228,0.32,180.05,0
133,spotify:track:4I31cTuAHTf9aO7JkGW8PO,Krept & Konan,Ask Flipz,2017-10-20,0.813,0.714,10,-6.528,0,0.188,0.274,0.0374,0.0899,0.621,137.003,0
134,spotify:track:7ltU1GaKFF6CxmLuD5SRLp,Chip,Coward,2015-10-23,0.494,0.78,2,-5.841,1,0.301,0.352,0,0.396,0.884,139.725,55
135,spotify:track:5cyEVII0Gbg8DHQC7OfAPL,Bugzy Malone,Facing Time,2016-06-03,0.386,0.788,10,-4.927,0,0.211,0.382,0,0.096,0.156,139.434,48
136,spotify:track:46h7yzNgZQNuyn5BwBHQeS,Skepta,I Spy,2007-09-17,0.569,0.707,2,-6.736,1,0.315,0.0179,0,0.0948,0.516,140.4,55
137,spotify:track:47hs3xNT3iOGvgmC4eXBAi,Diddy - Dirty Money,Coming Home,2010-01-01,0.353,0.815,7,-1.844,1,0.212,0.164,0,0.217,0.245,167.971,0
138,spotify:track:3uulVrxiI7iLTjOBZsaiF8,Mac Miller,Donald Trump,2011-05-17,0.636,0.901,1,-7.094,0,0.118,0.119,0,0.391,0.836,162.994,67
139,spotify:track:1KqJ51v5Sim7BVcqOANEq6,Scribe,Not Many,2003-01-01,0.824,0.879,5,-3.581,0,0.118,0.11,0,0.146,0.662,140.097,50
140,spotify:track:4KGCepP37Xm5L9rwmE5Llq,Aminé,Caroline,2016-08-26,0.946,0.396,10,-8.458,1,0.476,0.272,0,0.129,0.693,120.091,0
141,spotify:track:3tjl6YMFoAk6927XjAM0Er,Post Malone,Cold,2016-12-09,0.654,0.564,4,-7.763,0,0.0403,0.609,6.37e-06,0.103,0.267,132.983,0
142,spotify:track:4OpjzcmQ7rIJ5XNjWJfCnG,T-Pain,Church,2008-01-03,0.79,0.807,1,-5.56,1,0.14,0.0644,3.05e-05,0.34,0.964,80.019,46
143,spotify:track:2EEeOnHehOozLq4aS0n6SL,KYLE,iSpy (feat. Lil Yachty),2016-12-02,0.746,0.653,7,-6.745,1,0.289,0.378,0,0.229,0.672,75.016,74
144,spotify:track:60xaS8mYBKUW4VQQ666N0T,Chance the Rapper,All Night (feat. Knox Fortune),2016-05-27,0.704,0.777,2,-5.729,1,0.195,0.0358,0,0.151,0.392,111.921,67
