,artist_name,track_name,release_date,danceability,energy,key,loudness,mode,speechiness,accousticness,instrumentalness,liveness,valence,tempo,popularity,cluster
55,Stormzy,Standard,2016-09-02,0.789,0.684,9,-7.1579999999999995,1,0.361,0.0172,0.0,0.0434,0.507,139.842,45,2
56,Bonkaz,And Dat (Ft. Stormzy),2016-09-12,0.561,0.588,8,-7.627999999999999,1,0.413,0.375,0.0,0.084,0.664,83.204,0,2
57,Skepta,Track 5,2012-12-16,0.557,0.695,5,-7.22,1,0.35200000000000004,0.225,0.0,0.14,0.256,138.975,0,2
58,Childish Gambino,Bonfire,2011-11-15,0.503,0.7609999999999999,8,-5.801,1,0.314,0.059000000000000004,0.0,0.308,0.261,161.925,0,3
59,Drake,Headlines,2011-11-15,0.636,0.5660000000000001,6,-7.16,0,0.106,0.365,0.00035299999999999996,0.0917,0.425,151.894,73,0
60,Machine Gun Kelly,Till I Die,2015-10-16,0.865,0.621,0,-7.027,0,0.109,0.0285,0.0,0.136,0.344,110.044,0,7
61,Lil Ice,Pest Control,2017-01-26,0.605,0.835,5,-5.85,0,0.52,0.35700000000000004,0.0,0.426,0.624,107.554,0,2
62,iSHi,Push It,2015-02-27,0.635,0.773,7,-5.649,1,0.16899999999999998,0.0131,0.0502,0.0932,0.201,174.99200000000002,0,3
63,Kendrick Lamar,DNA.,2017-04-14,0.636,0.517,0,-6.7589999999999995,1,0.36,0.00402,0.0,0.0874,0.39399999999999996,139.928,0,2
64,Kendrick Lamar,ELEMENT.,2017-04-14,0.73,0.6859999999999999,4,-4.713,0,0.491,0.21899999999999997,0.0,0.21100000000000002,0.45899999999999996,189.889,0,2
65,J-Kwon,Tipsy - Club Mix,2012-01-01,0.924,0.755,9,-6.02,0,0.322,0.0609,0.0,0.0925,0.5820000000000001,93.00299999999999,0,7
66,Bliss n Eso,Addicted,2010-07-30,0.325,0.88,4,-6.877999999999999,0,0.24100000000000002,0.42200000000000004,0.0,0.316,0.779,82.51799999999999,0,7
67,Bliss n Eso,Down By The River,2010-07-30,0.711,0.955,0,-5.747000000000001,0,0.154,0.256,0.0,0.439,0.578,117.97200000000001,0,7
