Index,Track URI,Artist Name,Track Name,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Accousticness,Instrumentalness,Liveness,Valence,Tempo,popularity
47,spotify:track:33471tzU1VghDg9zNgGRpz,Old Dominion,Hotel Key,2017-08-25,0.758,0.867,11,-5.087,1,0.0475,0.152,0,0.308,0.964,102.018,68
48,spotify:track:5eDvChP4WAPPrtaQeI9MhT,Luke Combs,Beer Never Broke My Heart,2019-05-08,0.54,0.863,1,-4.483,1,0.0481,0.0138,0,0.0871,0.64,77.0,0
49,spotify:track:6nqvInlnaMzEzaw4s0zbee,Lauren Alaina,Doin' Fine,2017-01-27,0.439,0.752,8,-4.143,1,0.0375,0.116,0,0.133,0.456,166.051,66
50,spotify:track:5kNe7PE09d6Kvw5pAsx23n,Thomas Rhett,Die A Happy Man,2015-01-01,0.595,0.389,2,-9.245,1,0.0349,0.418,1.39e-06,0.116,0.4,166.052,74
51,spotify:track:1cmnChE57SpRJR2oFNcTpv,Matt Stell,Prayed For You,2019-05-10,0.595,0.698,9,-5.836,1,0.0361,0.0851,0,0.106,0.518,140.035,0
52,spotify:track:1dyxS3YzBbL0t8rEVwVQ1K,Blake Shelton,God's Country,2019-03-29,0.538,0.752,10,-5.106,1,0.0396,0.0608,5.39e-06,0.118,0.217,139.984,73
53,spotify:track:6E9V9TRlVOLjenGjHemzEH,Lee Brice,Hard To Love,2012-04-24,0.638,0.722,9,-6.177,1,0.0332,0.0119,0.00808,0.189,0.469,103.017,70
54,spotify:track:5atcLAbdW7d6BOui2DDI9z,Mitchell Tenpenny,Somebody Ain't You,2018-12-14,0.592,0.749,11,-4.604,1,0.0483,0.0203,0,0.122,0.614,160.046,57
55,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,"10,000 Hours (with Justin Bieber)",2019-10-04,0.654,0.63,10,-4.644,1,0.0259,0.153,0,0.111,0.43,89.991,85
56,spotify:track:2wxfu24GQpEZQrjDJm5Ac1,Carly Pearce,Every Little Thing,2017-10-13,0.636,0.428,0,-6.512,1,0.0375,0.434,1.02e-05,0.0907,0.32,139.919,62
57,spotify:track:5Zx1zVpDJsNgyY3HvNfsfC,Granger Smith,Happens Like That,2017-05-19,0.557,0.807,7,-5.428,1,0.0825,0.189,0,0.234,0.578,81.045,0
58,spotify:track:05ZACkzW8YbRq3eFgIfSNB,Eric Church,Springsteen,2011-01-01,0.692,0.809,2,-5.935,1,0.0255,0.1,9.77e-05,0.185,0.927,104.023,73
59,spotify:track:3xdjjKMcMOFgo1eQrfbogM,Darius Rucker,Wagon Wheel,2013-01-01,0.537,0.66,9,-7.174,1,0.0296,0.455,0,0.135,0.574,148.096,76
60,spotify:track:4H1ScKTo6abUt8yTXDewct,Jordan Davis,Cool Anymore,2019-11-08,0.519,0.738,7,-5.452,1,0.0327,0.133,0,0.0986,0.506,155.972,61
61,spotify:track:0uSGTaHms9ceAxb7L6VLrU,Dan + Shay,All To Myself,2018-05-03,0.651,0.782,1,-4.622,1,0.0303,0.23,0,0.139,0.619,94.94,62
