Index,Track URI,Artist Name,Track Name,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Accousticness,Instrumentalness,Liveness,Valence,Tempo,popularity
67,spotify:track:5id3Rqn7SPj1LX4FfY4nGz,Sia,Together,2020-05-20,0.521,0.877,7,-5.444,1,0.0683,0.0132,0.0806,0.0929,0.199,180.007,81
68,spotify:track:49dFIRQCQxPWgoH0m38XQ5,Lennon Stella,Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album,2020-04-23,0.696,0.686,5,-6.113,0,0.0309,0.262,0,0.174,0.7,115.982,76
69,spotify:track:4ztw0mBC6VBiLV79yRHDQW,R3HAB,Be Okay (with HRVY),2020-05-22,0.73,0.558,8,-6.535,1,0.0786,0.0179,0,0.128,0.618,100.066,67
70,spotify:track:78ldtCaBRJVp2i91B715L0,Kygo,Broken Glass,2020-05-29,0.526,0.633,7,-7.002,1,0.134,0.372,0,0.129,0.272,171.044,71
71,spotify:track:24Yi9hE78yPEbZ4kxyoXAI,SAINt JHN,Roses - Imanbek Remix,2019-10-09,0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,90
72,spotify:track:0QDWjstXi64Xsj7yReHc3l,Afrojack,Cloud 9 (feat. Jeremih),2020-06-12,0.772,0.873,10,-4.147,1,0.0798,0.0781,2.92e-06,0.152,0.747,122.019,55
73,spotify:track:24ySl2hOPGCDcxBxFIqWBu,Lady Gaga,Rain On Me (with Ariana Grande),2020-05-22,0.672,0.855,9,-3.764,1,0.0397,0.021,0,0.323,0.646,123.056,86
74,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,2019-05-17,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,91
75,spotify:track:35fXdkEBkofjWnSzWED3DU,Galantis,I Fly (feat. Faouzia),2020-05-15,0.525,0.935,5,-3.361,0,0.0569,0.103,0,0.257,0.809,114.115,53
76,spotify:track:63GbPS9LjpQgldJFEInkQ1,Avocuddle,Ain't No Sunshine,2020-06-05,0.807,0.742,11,-9.271,0,0.142,0.4,5.66e-05,0.364,0.646,109.939,64
77,spotify:track:0gySkOOewOdZtHG8stPEB8,Noah Cyrus,Young & Sad,2020-05-15,0.618,0.428,7,-8.5,0,0.038,0.592,0,0.192,0.359,142.021,68
78,spotify:track:7xbWAw3LMgRMn4omR5yVn3,Kygo,Lose Somebody,2020-05-15,0.58,0.586,1,-6.883,1,0.0357,0.344,0,0.0755,0.507,147.988,82
79,spotify:track:1zY6ekSJ8VI6tZ6nBqoo7g,JC Stewart,I Need You To Hate Me,2020-05-20,0.637,0.589,9,-5.618,0,0.0352,0.0298,0,0.11,0.376,148.925,71
80,spotify:track:0rohJsT6NWsThpukt0Xxdc,Martin Garrix,Higher Ground (feat. John Martin),2020-05-14,0.442,0.619,1,-5.28,1,0.0321,0.0841,0,0.0889,0.382,128.318,74
81,spotify:track:36fHADliwp4ColP0Gypg5W,Milky Chance,Don't Let Me Down,2020-05-01,0.854,0.674,0,-7.32,1,0.0597,0.345,9.82e-05,0.12,0.729,109.958,48
82,spotify:track:0VrgIjDkmDwlgZk54Try2u,JP Cooper,Little Bit Of Love,2020-05-08,0.659,0.801,7,-4.234,1,0.0435,0.0636,0,0.341,0.334,105.991,63
83,spotify:track:0ZXdzaT1k688dkpNeEgQiV,NOTD,I Don't Know Why,2020-05-08,0.499,0.898,8,-4.181,0,0.124,0.124,7.2e-06,0.0832,0.618,120.04,74
84,spotify:track:5cpw6QKJcoXzpNBLNUJx2i,Sia,Saved My Life,2020-05-02,0.682,0.503,8,-5.934,1,0.0417,0.213,0,0.0944,0.382,113.987,66
85,spotify:track:4HBZA5flZLE435QTztThqH,Ariana Grande,Stuck with U (with Justin Bieber),2020-05-08,0.597,0.45,8,-6.658,1,0.0418,0.223,0,0.382,0.537,178.765,89
86,spotify:track:0SxeiJsGGIpzrvsEk3dZeE,INNA,Sober,2020-05-06,0.929,0.594,9,-5.352,0,0.075,0.157,0.00088,0.173,0.562,122.005,58
87,spotify:track:205M9RkLKErmy1vMcXm3RO,Giant Rooks,Watershed,2020-01-31,0.57,0.792,3,-5.031,0,0.0396,0.148,0,0.13,0.432,119.972,38
88,spotify:track:4OwAVWPdiLsPCXG5adO2Cd,HAIM,I Know Alone,2020-04-29,0.771,0.658,0,-6.93,1,0.0721,0.139,0.0111,0.117,0.355,128.074,5
89,spotify:track:73ThEGwF5i9GrsXXGyZBRa,Imanbek,I'm Just Feelin' (Du Du Du),2020-05-01,0.736,0.657,0,-7.512,1,0.0668,0.179,4.29e-06,0.118,0.548,115.989,74
90,spotify:track:77fvnWALKJR0ws1VUx09CY,Jonas Brothers,X (with KAROL G),2020-05-15,0.715,0.827,4,-5.09,0,0.0617,0.0485,3.61e-05,0.321,0.75,117.977,77
91,spotify:track:0Fs0pr0lq3408wD1cemNll,Lukas Graham,Love Songs,2020-05-01,0.789,0.709,11,-5.157,0,0.294,0.261,0,0.146,0.656,88.048,59
92,spotify:track:3Z8FwOEN59mRMxDCtb8N0A,Marshmello,Be Kind (with Halsey),2020-05-01,0.63,0.633,4,-7.088,1,0.0457,0.00776,0,0.0541,0.452,93.995,86
93,spotify:track:14d79QOV2pvJHH9vlUfZwJ,Lost Frequencies,Love To Go,2020-04-17,0.755,0.783,11,-6.256,1,0.176,0.605,0.00663,0.203,0.419,104.022,68
94,spotify:track:6Q3K9gVUZRMZqZKrXovbM2,Kygo,I'll Wait,2020-04-03,0.611,0.651,1,-6.973,1,0.0587,0.148,1.84e-05,0.105,0.357,122.983,75
95,spotify:track:4ZTTUAjJCd4NMZmIU7RB4c,Alesso,Midnight (feat. Liam Payne),2020-04-08,0.587,0.648,11,-6.927,0,0.0439,0.0561,0,0.115,0.281,144.028,79
96,spotify:track:7eJMfftS33KTjuF7lTsMCx,Powfu,death bed (coffee for your head),2020-02-08,0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,90
97,spotify:track:017PF4Q3l4DBUiWoXk4OWT,Dua Lipa,Break My Heart,2020-03-27,0.73,0.729,4,-3.434,0,0.0883,0.167,1.39e-06,0.349,0.467,113.013,85
98,spotify:track:2K0r5GD5zYlEMx2M7ZMcqG,OneRepublic,Better Days,2020-03-25,0.626,0.726,5,-5.015,1,0.0376,0.235,0,0.304,0.257,89.132,77
99,spotify:track:0oB9964bp22Bmok0Dmxlzb,Major Lazer,Lay Your Head On Me (feat. Marcus Mumford),2020-03-26,0.658,0.765,11,-7.002,0,0.0469,0.0471,1.02e-05,0.0936,0.222,119.974,58
100,spotify:track:24aN8j7dBw0FxxKUBlCtd6,Sam Feldt,Hold Me Close (feat. Ella Henderson),2020-03-27,0.654,0.795,0,-4.419,1,0.0536,0.178,0,0.19,0.465,120.019,72
